1:C 15 Mar 2023 04:00:46.488 # oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
1:C 15 Mar 2023 04:00:46.495 # Redis version=5.0.7, bits=64, commit=00000000, modified=0, pid=1, just started
1:C 15 Mar 2023 04:00:46.499 # Configuration loaded
1:M 15 Mar 2023 04:00:46.506 * Running mode=standalone, port=6380.
1:M 15 Mar 2023 04:00:46.509 # Server initialized
1:M 15 Mar 2023 04:00:46.513 # WARNING you have Transparent Huge Pages (THP) support enabled in your kernel. This will create latency and memory usage issues with Redis. To fix this issue run the command 'echo never > /sys/kernel/mm/transparent_hugepage/enabled' as root, and add it to your /etc/rc.local in order to retain the setting after a reboot. Redis must be restarted after THP is disabled.
1:M 15 Mar 2023 04:00:46.517 * Ready to accept connections
1:M 15 Mar 2023 04:00:46.521 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:00:51.644 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:00:56.741 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:01.843 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:06.956 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:12.091 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:17.203 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:22.289 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:27.422 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:32.516 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:37.606 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:42.702 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:47.785 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:52.893 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:01:58.014 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:02:03.150 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:02:08.260 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:02:13.387 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:02:18.503 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:02:23.622 - 0 clients connected (0 replicas), 824128 bytes in use
1:M 15 Mar 2023 04:02:28.734 - 0 clients connected (0 replicas), 824128 bytes in use
